"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","slider_start"
"18475","Welcome to this annotation effort! Press any key to begin.","arrowright","html-keyboard-response","0","18490","0.0-0.0",""
"6304","renamed_shared1000/2951.png","4","image-slider-response","1","24803","0.0-1.0","50"
"5125","renamed_shared1000/2991.png","2","image-slider-response","2","29935","0.0-2.0","50"
"3485","renamed_shared1000/3050.png","8","image-slider-response","3","33423","0.0-3.0","50"
"4569","renamed_shared1000/3078.png","5","image-slider-response","4","37998","0.0-4.0","50"
"2609","renamed_shared1000/3172.png","7","image-slider-response","5","40614","0.0-5.0","50"
"4749","renamed_shared1000/3387.png","9","image-slider-response","6","45368","0.0-6.0","50"
"3224","renamed_shared1000/3450.png","8","image-slider-response","7","48595","0.0-7.0","50"
"8616","renamed_shared1000/3627.png","1","image-slider-response","8","57217","0.0-8.0","50"
"4731","renamed_shared1000/3730.png","2","image-slider-response","9","61953","0.0-9.0","50"
"4662","renamed_shared1000/3843.png","5","image-slider-response","10","66618","0.0-10.0","50"
"4455","renamed_shared1000/3857.png","2","image-slider-response","11","71078","0.0-11.0","50"
"6406","renamed_shared1000/3914.png","1","image-slider-response","12","77496","0.0-12.0","50"
"2728","renamed_shared1000/4052.png","3","image-slider-response","13","80233","0.0-13.0","50"
"5989","renamed_shared1000/4130.png","2","image-slider-response","14","86227","0.0-14.0","50"
"3934","renamed_shared1000/4424.png","1","image-slider-response","15","90170","0.0-15.0","50"
"2717","renamed_shared1000/4613.png","1","image-slider-response","16","92892","0.0-16.0","50"
"3027","renamed_shared1000/4787.png","4","image-slider-response","17","95930","0.0-17.0","50"
"8104","renamed_shared1000/4836.png","3","image-slider-response","18","104041","0.0-18.0","50"
"4847","renamed_shared1000/4893.png","6","image-slider-response","19","108893","0.0-19.0","50"
"3120","renamed_shared1000/5035.png","4","image-slider-response","20","112019","0.0-20.0","50"
"4307","renamed_shared1000/5339.png","3","image-slider-response","21","116330","0.0-21.0","50"
"4331","renamed_shared1000/5428.png","1","image-slider-response","22","120666","0.0-22.0","50"
"2566","renamed_shared1000/5503.png","2","image-slider-response","23","123236","0.0-23.0","50"
"2416","renamed_shared1000/5543.png","5","image-slider-response","24","125657","0.0-24.0","50"
"5435","renamed_shared1000/5584.png","3","image-slider-response","25","131097","0.0-25.0","50"
"3148","renamed_shared1000/6432.png","2","image-slider-response","26","134251","0.0-26.0","50"
"2547","renamed_shared1000/6445.png","3","image-slider-response","27","136801","0.0-27.0","50"
"3140","renamed_shared1000/6515.png","7","image-slider-response","28","139946","0.0-28.0","50"
"2438","renamed_shared1000/6525.png","8","image-slider-response","29","142389","0.0-29.0","50"
"2494","renamed_shared1000/6559.png","2","image-slider-response","30","144887","0.0-30.0","50"
"3597","renamed_shared1000/6641.png","8","image-slider-response","31","148490","0.0-31.0","50"
"2981","renamed_shared1000/6714.png","7","image-slider-response","32","151474","0.0-32.0","50"
"4119","renamed_shared1000/6802.png","1","image-slider-response","33","155597","0.0-33.0","50"
"3093","renamed_shared1000/7121.png","2","image-slider-response","34","158694","0.0-34.0","50"
"3742","renamed_shared1000/7367.png","2","image-slider-response","35","162439","0.0-35.0","50"
"4609","renamed_shared1000/7419.png","2","image-slider-response","36","167054","0.0-36.0","50"
"2359","renamed_shared1000/7481.png","1","image-slider-response","37","169418","0.0-37.0","50"
"2287","renamed_shared1000/7660.png","1","image-slider-response","38","171712","0.0-38.0","50"
"2656","renamed_shared1000/7949.png","2","image-slider-response","39","174373","0.0-39.0","50"
"2440","renamed_shared1000/8007.png","8","image-slider-response","40","176819","0.0-40.0","50"
"3096","renamed_shared1000/8110.png","6","image-slider-response","41","179921","0.0-41.0","50"
"2805","renamed_shared1000/8226.png","6","image-slider-response","42","182732","0.0-42.0","50"
"9981","renamed_shared1000/8263.png","2","image-slider-response","43","192719","0.0-43.0","50"
"2537","renamed_shared1000/8388.png","3","image-slider-response","44","195262","0.0-44.0","50"
"2572","renamed_shared1000/8466.png","7","image-slider-response","45","197841","0.0-45.0","50"
"2668","renamed_shared1000/8632.png","1","image-slider-response","46","200514","0.0-46.0","50"
"2722","renamed_shared1000/8808.png","1","image-slider-response","47","203241","0.0-47.0","50"
"3147","renamed_shared1000/8926.png","2","image-slider-response","48","206397","0.0-48.0","50"
"3318","renamed_shared1000/8934.png","2","image-slider-response","49","209719","0.0-49.0","50"
"2279","renamed_shared1000/9028.png","1","image-slider-response","50","212008","0.0-50.0","50"
"3560","renamed_shared1000/9435.png","1","image-slider-response","51","215573","0.0-51.0","50"
"2758","renamed_shared1000/9723.png","2","image-slider-response","52","218337","0.0-52.0","50"
"2668","renamed_shared1000/9848.png","6","image-slider-response","53","221010","0.0-53.0","50"
"2849","renamed_shared1000/9979.png","2","image-slider-response","54","223864","0.0-54.0","50"
"3120","renamed_shared1000/10007.png","4","image-slider-response","55","226988","0.0-55.0","50"
